StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2_1,Q1.3_1,Q2.1,Q2.2,Q3.1_1,Q3.2_1,Q4.1,Q4.2,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5,Q5.6_1,Q5.7,Q5.8_1,Q6.1_1,Q6.1_2,Q6.1_3,Q6.1_4,Q6.1_5,Q6.1_6,Q6.1_7,Q6.1_8,Q6.1_9,Q6.1_10,Q6.1_11,Q6.1_12,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.2_5,Q6.2_6,Q6.2_7,Q6.2_8,Q6.2_9,Q6.2_10,Q6.2_11,Q6.2_12,Q6.2_13,Q6.3_1,Q6.3_2,Q6.3_3,Q6.3_4,Q6.3_5,Q6.3_6,Q6.3_7,Q6.3_8,Q6.3_9,Q6.3_10,Q6.3_11,Q6.3_12,Q6.3_13,Q6.3_14,Q6.3_15,Q6.4_1,Q6.4_2,Q6.4_3,Q6.4_4,Q6.4_5,Q6.4_6,Q6.4_7,Q6.4_8,Q6.4_9,Q6.4_10,Q6.4_11,Q6.4_12,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,MO503Section,UMID,last2,Uniqname,FirstName,LastName,Email
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter the last 4 digits of your telephone number:,"Estimate the number of physicians in Budapest, Hungary:",Which outcome do you prefer?,Which outcome do you prefer?,"A newly hired engineer for a computer company in the Boston area has six years experience and good all-around qualifications.  When asked to estimate the starting salary for this employee, my secretary (knowing little about the profession or the industry) guessed an annual salary of $120,000.  What is your estimate (please write an exact number)?  	   	My estimate of the starting salary is $___,000","A newly hired engineer for a computer company in the Boston area has six years experience and good all-around qualifications.  When asked to estimate the starting salary for this employee, my assistant (knowing little about the profession or the industry) guessed an annual salary of $70,000.  What is your estimate (please write an exact number)?       My estimate of the starting salary is $___,000","A large car manufacturer has recently been hit with a number of economic difficulties, and it appears as if three plants need to be closed and 6,000 employees laid off.  The VP of production has been exploring alternative ways to avoid this crisis.  She has developed two plans.  Which plan would you select?  	   	Plan A: This plan will save one of the three plants and 2,000 jobs.  	   	Plan B: This plan has a 1/3 probability of saving all three plants and all 6,000 jobs, but it has a 2/3 probability of saving no plants and no jobs.","A large car manufacturer has recently been hit with a number of economic difficulties, and it appears as if three plants need to be closed and 6,000 employees laid off.  The VP of production has been exploring alternative ways to avoid this crisis.  She has developed two plans.  Which plan would you select?  	   	Plan A: This plan will result in the loss of two of three plants and 4,000 jobs.  	   	Plan B: This plan has a 2/3 probability of resulting in the loss of all three plants and all 6,000 jobs, but it has a 1/3 probability of losing no plants and no jobs.",The following 10 corporations were ranked by Fortune Magazine to be among the largest 150 global firms according to sales revenue for 2019.  Which set of five below (A or B) had the larger total sales volume?,"In four pages of a novel (about 2,000 words), how many words would you expect to find that have the form _ _ _ _ ing (seven-letter words that end with ""ing"")?  Indicate your best estimate by choosing one of the values below:","Of the roughly 75 people in your Ross MBA section, if we were to rank all of the final grades in December, where do you think your grade for MO 503 will fall?","In four pages of a novel (about 2,000 words), how many words would you expect to find that have the form _ _ _ _ _n_ (seven-letter word with ""n"" in the sixth position)?  Indicate your best estimate by choosing one of the values below:",Would you be willing to pay $[Field-last2] for this bottle of wine?,What’s the most you would be willing to pay for this bottle of wine?,Are you interested in becoming a senior executive at a Fortune 100 firm?,Estimate the percentage of MBA students at Ross who are interested in becoming a senior executive at a Fortune 100 firm,"Section 2: Leadership Styles Assessment  	    	Motivating People  	We want to understand how you motivate people (e.g., team members, co-workers).  Think about situations where you were trying to motivate a person. The situations could be at work prior to business school, in your personal life, or even situations where you were trying to motivate a classmate here at Ross. Please indicate the extent to which you agree or disagree with each statement. - I ask the other person what rewards they value for high performance.","Section 2: Leadership Styles Assessment  	    	Motivating People  	We want to understand how you motivate people (e.g., team members, co-workers).  Think about situations where you were trying to motivate a person. The situations could be at work prior to business school, in your personal life, or even situations where you were trying to motivate a classmate here at Ross. Please indicate the extent to which you agree or disagree with each statement. - I find out if the person has the ability to do what needs to be done.","Section 2: Leadership Styles Assessment  	    	Motivating People  	We want to understand how you motivate people (e.g., team members, co-workers).  Think about situations where you were trying to motivate a person. The situations could be at work prior to business school, in your personal life, or even situations where you were trying to motivate a classmate here at Ross. Please indicate the extent to which you agree or disagree with each statement. - I explain exactly what needs to be done for the person I'm trying to motivate.","Section 2: Leadership Styles Assessment  	    	Motivating People  	We want to understand how you motivate people (e.g., team members, co-workers).  Think about situations where you were trying to motivate a person. The situations could be at work prior to business school, in your personal life, or even situations where you were trying to motivate a classmate here at Ross. Please indicate the extent to which you agree or disagree with each statement. - Before giving somebody a reward, I find out what would appeal to that person.","Section 2: Leadership Styles Assessment  	    	Motivating People  	We want to understand how you motivate people (e.g., team members, co-workers).  Think about situations where you were trying to motivate a person. The situations could be at work prior to business school, in your personal life, or even situations where you were trying to motivate a classmate here at Ross. Please indicate the extent to which you agree or disagree with each statement. - I negotiate what people will receive if they accomplish the goal.","Section 2: Leadership Styles Assessment  	    	Motivating People  	We want to understand how you motivate people (e.g., team members, co-workers).  Think about situations where you were trying to motivate a person. The situations could be at work prior to business school, in your personal life, or even situations where you were trying to motivate a classmate here at Ross. Please indicate the extent to which you agree or disagree with each statement. - I make sure people have the ability to achieve performance targets.","Section 2: Leadership Styles Assessment  	    	Motivating People  	We want to understand how you motivate people (e.g., team members, co-workers).  Think about situations where you were trying to motivate a person. The situations could be at work prior to business school, in your personal life, or even situations where you were trying to motivate a classmate here at Ross. Please indicate the extent to which you agree or disagree with each statement. - I give special recognition when others' work is very good.","Section 2: Leadership Styles Assessment  	    	Motivating People  	We want to understand how you motivate people (e.g., team members, co-workers).  Think about situations where you were trying to motivate a person. The situations could be at work prior to business school, in your personal life, or even situations where you were trying to motivate a classmate here at Ross. Please indicate the extent to which you agree or disagree with each statement. - I only reward people if their performance is up to standard.","Section 2: Leadership Styles Assessment  	    	Motivating People  	We want to understand how you motivate people (e.g., team members, co-workers).  Think about situations where you were trying to motivate a person. The situations could be at work prior to business school, in your personal life, or even situations where you were trying to motivate a classmate here at Ross. Please indicate the extent to which you agree or disagree with each statement. - I use a variety of rewards to reinforce exceptional performance.","Section 2: Leadership Styles Assessment  	    	Motivating People  	We want to understand how you motivate people (e.g., team members, co-workers).  Think about situations where you were trying to motivate a person. The situations could be at work prior to business school, in your personal life, or even situations where you were trying to motivate a classmate here at Ross. Please indicate the extent to which you agree or disagree with each statement. - I generously praise people who perform well.","Section 2: Leadership Styles Assessment  	    	Motivating People  	We want to understand how you motivate people (e.g., team members, co-workers).  Think about situations where you were trying to motivate a person. The situations could be at work prior to business school, in your personal life, or even situations where you were trying to motivate a classmate here at Ross. Please indicate the extent to which you agree or disagree with each statement. - I promptly commend others when they do a better-than-average job.","Section 2: Leadership Styles Assessment  	    	Motivating People  	We want to understand how you motivate people (e.g., team members, co-workers).  Think about situations where you were trying to motivate a person. The situations could be at work prior to business school, in your personal life, or even situations where you were trying to motivate a classmate here at Ross. Please indicate the extent to which you agree or disagree with each statement. - I publicly compliment others when they do outstanding work.","Influencing People and Organizational Processes  	These items assess the ways in which you attempt to influence people. - I would confront my follower(s) and demand that requested actions be carried out promptly.","Influencing People and Organizational Processes  	These items assess the ways in which you attempt to influence people. - I would explain the reason for a request or proposal.","Influencing People and Organizational Processes  	These items assess the ways in which you attempt to influence people. - I would make reference to a higher authority in order to get a requested action carried out.","Influencing People and Organizational Processes  	These items assess the ways in which you attempt to influence people. - I would explain how the person would benefit from my proposal.","Influencing People and Organizational Processes  	These items assess the ways in which you attempt to influence people. - I would indicate that I would do a favor in return for their carrying out a requested action.","Influencing People and Organizational Processes  	These items assess the ways in which you attempt to influence people. - I would provide evidence that a proposal is feasible.","Influencing People and Organizational Processes  	These items assess the ways in which you attempt to influence people. - I would compliment people on their past accomplishments before asking them to do another task.","Influencing People and Organizational Processes  	These items assess the ways in which you attempt to influence people. - I would explain why my proposal is objectively better than competing ones.","Influencing People and Organizational Processes  	These items assess the ways in which you attempt to influence people. - I would get other people to provide evidence in support of a plan or proposal that I was attempting to carry out.","Influencing People and Organizational Processes  	These items assess the ways in which you attempt to influence people. - I would explain how likely problems or concerns should be handled.","Influencing People and Organizational Processes  	These items assess the ways in which you attempt to influence people. - I would describe a proposed task or project with enthusiasm and conviction to convey that it is important and worthwhile.","Influencing People and Organizational Processes  	These items assess the ways in which you attempt to influence people. - I would provide evidence that the requested action that I am proposing will lead to the successful completion of a task or project.","Influencing People and Organizational Processes  	These items assess the ways in which you attempt to influence people. - I would tell others what it is that I am trying to accomplish and ask if they know a good way to do it.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I shy away from topics that might cause a dispute.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I strongly assert my opinion in a disagreement.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I suggest solutions that combine others' points of view.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I give in a little when other people do the same.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I avoid a person who wants to discuss a topic of disagreement.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I combine arguments into a new solution from the ideas raised in a dispute.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I will split the difference to reach a settlement.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I am quick to agree when someone I am arguing with makes a good point.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I keep my views to myself rather than argue.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I try to include other people's ideas to create a solution they will accept.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I offer trade-offs to reach solutions in a disagreement.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I try to smooth over disagreements by making them seem less serious.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I hold my tongue rather than argue with another person.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I raise my voice to get other people to accept my position.","Conflict Management  	Think of disagreements you have had with a team member, a students group, manager, friend, or co-worker.  Then indicate the degree to which you agree or disagree with each statement when thinking about how you typically address conflict.  There are no right or wrong answers. - I stand firm in expressing my viewpoints during a disagreement.","Negotiation Style  This section asks about how you typically engage in negotiations. Think about situations where you had to negotiate with a co-worker or boss. With those situations in mind, please indicate the extent to which you agree or disagree with each statement. - Most things are negotiable.","Negotiation Style  This section asks about how you typically engage in negotiations. Think about situations where you had to negotiate with a co-worker or boss. With those situations in mind, please indicate the extent to which you agree or disagree with each statement. - Many interactions I have during the day can be opportunities to improve my   situation.","Negotiation Style  This section asks about how you typically engage in negotiations. Think about situations where you had to negotiate with a co-worker or boss. With those situations in mind, please indicate the extent to which you agree or disagree with each statement. - There are many things available to people, if only people asked for them.","Negotiation Style  This section asks about how you typically engage in negotiations. Think about situations where you had to negotiate with a co-worker or boss. With those situations in mind, please indicate the extent to which you agree or disagree with each statement. - I often see chances to improve my circumstances.","Negotiation Style  This section asks about how you typically engage in negotiations. Think about situations where you had to negotiate with a co-worker or boss. With those situations in mind, please indicate the extent to which you agree or disagree with each statement. - I think situations should be changed to fit my desires.","Negotiation Style  This section asks about how you typically engage in negotiations. Think about situations where you had to negotiate with a co-worker or boss. With those situations in mind, please indicate the extent to which you agree or disagree with each statement. - I usually feel that I’ve earned the right to have things go my way.","Negotiation Style  This section asks about how you typically engage in negotiations. Think about situations where you had to negotiate with a co-worker or boss. With those situations in mind, please indicate the extent to which you agree or disagree with each statement. - I feel that I am entitled to get what I want.","Negotiation Style  This section asks about how you typically engage in negotiations. Think about situations where you had to negotiate with a co-worker or boss. With those situations in mind, please indicate the extent to which you agree or disagree with each statement. - I feel anxious when I have to ask for something I want.","Negotiation Style  This section asks about how you typically engage in negotiations. Think about situations where you had to negotiate with a co-worker or boss. With those situations in mind, please indicate the extent to which you agree or disagree with each statement. - It always takes me a long time to work up the courage to ask for things I want.","Negotiation Style  This section asks about how you typically engage in negotiations. Think about situations where you had to negotiate with a co-worker or boss. With those situations in mind, please indicate the extent to which you agree or disagree with each statement. - I feel nervous when I am in situations in which I have to persuade others to give me things I want.","Negotiation Style  This section asks about how you typically engage in negotiations. Think about situations where you had to negotiate with a co-worker or boss. With those situations in mind, please indicate the extent to which you agree or disagree with each statement. - I experience a lot of stress when I think about asking for something I want.","Negotiation Style  This section asks about how you typically engage in negotiations. Think about situations where you had to negotiate with a co-worker or boss. With those situations in mind, please indicate the extent to which you agree or disagree with each statement. - It always feels so unpleasant to have to ask for things myself.",Motivate People by Managing Expectations,Motivate People via Positive Reinforcement,Rational persuasion - use logic to persuade,Pressure - demand action,Authority - make reference to higher authority,Reciprocity - exchange of goodwill or support,Liking - compliment the other person,Coalition - get other people to support social proof,Inspirational appeal - use enthusiasm to convey importance,Consultation - ask others if they know a good way,Compete,Avoid,Compromise,Accommodate,Collaborate,Recognition,Apprehension,Entitlement,MO503Section,UMID,last2,Uniqname,FirstName,LastName,Email
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID36""}","{""ImportId"":""QID49""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID37""}","{""ImportId"":""QID50""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID2_10""}","{""ImportId"":""QID2_11""}","{""ImportId"":""QID2_12""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_7""}","{""ImportId"":""QID18_8""}","{""ImportId"":""QID18_9""}","{""ImportId"":""QID18_10""}","{""ImportId"":""QID18_11""}","{""ImportId"":""QID18_12""}","{""ImportId"":""QID18_13""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID19_6""}","{""ImportId"":""QID19_7""}","{""ImportId"":""QID19_8""}","{""ImportId"":""QID19_9""}","{""ImportId"":""QID19_10""}","{""ImportId"":""QID19_11""}","{""ImportId"":""QID19_12""}","{""ImportId"":""QID19_13""}","{""ImportId"":""QID19_14""}","{""ImportId"":""QID19_15""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID20_6""}","{""ImportId"":""QID20_7""}","{""ImportId"":""QID20_8""}","{""ImportId"":""QID20_9""}","{""ImportId"":""QID20_10""}","{""ImportId"":""QID20_11""}","{""ImportId"":""QID20_12""}","{""ImportId"":""SC1""}","{""ImportId"":""SC2""}","{""ImportId"":""SC3""}","{""ImportId"":""SC4""}","{""ImportId"":""SC5""}","{""ImportId"":""SC6""}","{""ImportId"":""SC7""}","{""ImportId"":""SC8""}","{""ImportId"":""SC9""}","{""ImportId"":""SC10""}","{""ImportId"":""SC11""}","{""ImportId"":""SC12""}","{""ImportId"":""SC13""}","{""ImportId"":""SC14""}","{""ImportId"":""SC15""}","{""ImportId"":""SC16""}","{""ImportId"":""SC17""}","{""ImportId"":""SC18""}","{""ImportId"":""MO503Section""}","{""ImportId"":""UMID""}","{""ImportId"":""last2""}","{""ImportId"":""Uniqname""}","{""ImportId"":""FirstName""}","{""ImportId"":""LastName""}","{""ImportId"":""Email""}"
10/13/20 10:59,10/13/20 11:07,0,73.144.192.133,100,470,1,10/13/20 11:07,R_bDA264ckIsMo8Dv,,,,,42.27090454,-83.72679901,anonymous,EN,7996,10000,2,,150,,,1,2,7,2,7,2,20,1,10,6,6,7,6,5,7,7,4,5,7,6,7,2,6,4,4,3,3,3,4,5,6,6,6,6,5,6,6,5,2,4,5,6,4,5,4,3,3,1,4,6,6,7,5,5,6,5,6,6,6,6,6,176,36,29,2,4,3,3,5,6,6,11,11,14,12,15,24,30,16,5,,96,,Student1,Last1,Student1@umich.edu
10/13/20 11:35,10/13/20 11:46,0,73.144.196.250,100,614,1,10/13/20 11:46,R_2SIz2ewrRv3goZT,,,,,42.23240662,-83.7016983,anonymous,EN,8822,17000,,1,,90,1,,2,4,4,4,1,22,1,70,5,6,5,6,4,6,7,6,5,7,7,7,3,6,5,5,3,6,5,4,5,7,6,6,5,3,4,6,6,3,6,4,5,3,5,5,2,2,1,5,6,6,6,6,2,3,1,6,6,6,5,5,155,39,34,3,5,3,5,5,6,5,10,9,15,9,17,24,28,6,1,,22,,Student2,Last2,Student2@umich.edu
10/14/20 12:04,10/14/20 12:15,0,68.56.145.92,100,651,1,10/14/20 12:15,R_1r6T0yIDI4cIhz8,,,,,42.28070068,-83.78009796,anonymous,EN,5137,3000,1,,150,,2,,2,7,3,7,2,20,1,99,6,6,3,6,6,6,5,3,6,6,6,6,4,6,5,6,5,6,6,6,6,5,6,4,6,5,4,6,6,5,5,5,6,3,6,6,6,4,3,5,6,6,6,6,6,6,4,6,5,5,5,5,180,32,33,4,5,5,6,6,6,6,12,13,17,16,17,24,26,16,2,,37,,Student3,Last3,Student3@umich.edu
10/14/20 16:02,10/14/20 16:10,0,68.49.151.7,100,497,1,10/14/20 16:10,R_b4uYmkcwbNPEI93,,,,,42.27090454,-83.72679901,anonymous,EN,1536,4000,,1,,120,,2,2,6,2,7,1,60,1,80,7,7,5,7,6,7,6,7,7,5,5,6,4,7,5,6,6,7,6,4,4,5,6,6,5,1,4,6,7,2,5,6,5,1,5,6,5,2,4,5,7,7,6,6,5,5,1,4,2,3,2,3,159,36,35,4,5,6,6,4,6,5,13,4,19,12,16,26,14,11,3,,36,,Student4,Last4,Student4@umich.edu
10/14/20 23:45,10/14/20 23:51,0,50.205.14.135,100,339,1,10/14/20 23:51,R_3lzdoxaD2w5Go60,,,,,42.27090454,-83.72679901,anonymous,EN,7275,300,1,,150,,1,,2,6,3,5,2,20,1,40,6,6,5,4,5,6,5,6,4,5,5,5,3,6,5,3,2,5,6,4,5,6,7,6,6,7,3,7,6,5,5,6,5,6,6,5,7,5,2,2,7,5,5,4,6,5,4,7,7,7,6,7,185,30,30,3,5,2,6,5,7,6,7,18,17,17,18,21,34,15,5,,75,,Student5,Last5,Student5@umich.edu
10/15/20 3:34,10/15/20 4:13,0,222.106.46.3,100,2337,1,10/15/20 4:13,R_z6dxGp577IAwkO5,,,,,37.49510193,127.0628052,anonymous,EN,8150,30000,,2,,100,,1,3,5,5,7,2,30,1,70,5,6,5,5,5,6,4,4,3,6,4,5,5,5,4,5,6,6,5,4,5,5,5,5,5,5,5,5,5,3,4,3,5,5,6,4,4,5,3,3,5,6,5,4,5,4,4,5,5,5,5,5,160,26,30,5,4,6,5,5,5,5,11,13,12,14,15,20,25,13,1,,50,,Student6,Last6,Student6@umich.edu
10/15/20 6:41,10/15/20 6:58,0,35.1.115.122,100,1019,1,10/15/20 6:58,R_2uvKJODY9QPjyeB,,,,,42.27760315,-83.74089813,anonymous,EN,4358,3408,1,,100,,,1,3,7,2,7,2,0,1,80,6,6,6,7,4,7,7,4,6,6,4,7,5,7,4,6,4,6,7,6,6,6,7,7,5,6,3,5,5,3,6,6,7,5,7,5,5,3,1,2,7,6,7,7,5,6,2,1,1,5,1,5,163,34,38,5,4,4,7,6,7,5,6,14,16,15,18,27,13,13,5,,58,,Student7,Last7,Student7@umich.edu
10/15/20 10:40,10/15/20 10:49,0,99.9.112.69,100,566,1,10/15/20 10:49,R_2qBIrQoOeSKtsY3,,,,,42.28070068,-83.78009796,anonymous,EN,1236,600000,,1,145,,,2,3,6,4,6,2,8,1,75,6,7,5,6,3,5,7,5,5,7,7,6,3,7,5,6,2,5,4,4,3,5,5,5,5,4,5,5,5,2,3,2,6,3,5,5,2,2,1,5,6,5,7,5,3,2,1,5,2,5,2,2,137,37,32,3,5,2,4,3,5,5,11,9,12,10,13,23,16,6,3,,36,,Student8,Last8,Student8@umich.edu
